#VERTEX#
1,mural,2
2,estatua,3
3,mezquita,8
4,iglesia,6
5,alcazar,8
6,sinagoga,8
7,minarete,6
8
9,palacio,8
10,catedral,10
11,ermita,4
12,muralla,3
13,monasterio,7
14,castillo,9
15
16,torre,6
17
18,retablo,6
19,
20,ruinas,10
#EDGE#
1,4,4.0,1.0
1,2,2.0,1.0
1,14,4.0,1.0
5,6,1.0,5.0
6,9,6.0,4.0
8,7,2.0,3.0
2,3,1.0,2.0
4,7,6.0,4.0
5,4,2.0,1.0
3,4,3.0,4.0
10,9,2.0,4.0
19,17,2.0,4.0
19,18,3.0,2.0
20,17,2.0,3.0
10,13,2.0,4.0
15,11,3.0,2.0
12,13,2.0,3.0
6,7,3.0,2.0
6,4,5.0,4.0
9,7,2.0,3.0
20,16,3.0,2.0
14,16,2.0,3.0
8,9,3.0,2.0
12,11,2.0,3.0
15,18,1.0,4.0
12,5,3.0,5.0
10,20,1.0,2.0
8,18,2.0,3.0
